text,labels,domain,source
"Man Robbed Of Assault Rifle At Gunpoint Opens Fire With Second Gun The accused robber was struck multiple times, and two bystanders were wounded in the St. Louis shootout.",,Crime,huffpost
Kellyanne Conway Finally Admits Marriage With George Conway Is On The Rocks Donald Trump's former White House adviser told People that love must come with respect and ... a modicum of class and dignity.,,Politics,huffpost
Congress Will Discuss UFOs For First Time In More Than 50 Years And People Have Questions The House Intelligence Committee hearing follows a 2021 report of a possible national security challenge from UFOs.,,Politics,huffpost
Rep. Cori Bush Biden Should 'Absolutely' Say The Word 'Abortion' More The Missouri Democratic congresswoman has shared her own story getting an abortion after she was raped as a teenager.,,Politics,huffpost
"2022 Midterms What To Know About Tuesday's Primaries In Ohio And Indiana The races, particularly in Ohio, could provide a fresh window into former President Trump's sway among the party faithful.",,Politics,huffpost
"Protests Held Outside Supreme Court Following Shocking Leaked Draft About Abortion Rights Abortion is health care, reproductive rights advocates chanted after Politico reported that the high court planned to overturn Roe v. Wade.",,Politics,huffpost
Arizona Wildfire Forces Fast Decision Fight Or Flee Flames? Ferocious winds that sent what was a small wildfire racing toward homes on the outskirts of Flagstaff presented residents with a dilemma.,,Environment,huffpost
"Homes 'Completely Blown Away' By Suspected Tornado In Kansas A suspected twister barreled through parts of Kansas, injuring several people, damaging multiple buildings and leaving thousands without power.",,Environment,huffpost
Republicans Cheer As Congressional Candidate Demands Fauci s Execution By Firing Squad Oklahoma GOP Chair John Bennett's comments advocating violence against the top infectious disease expert earned him applause at a campaign event.,,Politics,huffpost
"Dashcam Video Shows Madison Cawthorn Surrendering His Driver's License During a traffic stop, a North Carolina state trooper discovered the congressman's license was suspended.",,Politics,huffpost
"Dad Of Slain Virginia Journalist Fails To Make Ballot For Congress Andy Parker, whose daughter was killed during a live broadcast in 2015, sought to enter the Democratic primary in an effort to unseat GOP Rep. Bob Good.",,Politics,huffpost
Congress Might Finally Do Something About The Exorbitant Cost Of Prison Phone Calls The late Martha Wright-Reed became a phone justice activist after having to choose between paying for her medication and speaking with her grandson.,,Politics,huffpost
"Marjorie Taylor Greene Argues U.S. Capitol Riot Happened Just 'One Time' The extremist congresswoman claimed Americans are fed up with hearing about the Jan. 6, 2021, insurrection that happened just that once.",,Politics,huffpost
"Trump-Backed Vernon Jones Says Civil Rights Don't Apply To Gay People Because They 'Can Change' On the other hand, I'm Black, from cradle to grave, the Georgia congressional candidate told Steve Bannon. I don't have a choice.",,Politics,huffpost
Twitter Beef Between Rep. Marjorie Taylor Greene and Jimmy Kimmel Enters Its 2nd Day This social media battle between the congresswoman and the comedian just may be our new favorite non-contact sport.,,Politics,huffpost
"GOP Rep. Fred Upton, Who Voted To Impeach Trump, Announces Retirement The longtime Michigan congressman said he won't seek another term.",,Politics,huffpost
"Sarah Palin Is Running For Congress In Alaska A decade after her failed vice presidential bid, the former Alaska governor is running to replace conservative GOP Rep. Don Young, who died last week.",,Politics,huffpost
"Marjorie Taylor Greene Sues To Stop Challenge To Her Reelection Eligibility A challenge filed last month with the Georgia secretary of state s office alleges the congresswoman helped facilitate the Jan. 6, 2021, riot on Capitol Hill.",,Politics,huffpost
Cory Booker Explains Why He Went To Bat For Ketanji Brown Jackson Sen. Dick Durbin D-Ill. also told reporters that the GOP treatment of Jackson was disgusting.,,Politics,huffpost
"This Texas City s Water Crisis Is Shaping A Democratic Congressional Primary Jessica Cisneros, a progressive challenging Rep. Henry Cuellar D , argues that Laredo s water infrastructure should have improved more during Cuellar s tenure.",,Politics,huffpost
"Top Putin Flack Sergey Lavrov Praises Fox News Russia's top diplomat had some warm words for the conservative network, whose prime-time personality Tucker Carlson has repeated pro-Kremlin talking points.",,Politics,huffpost
"Pandemic Preparedness Bill Moves Ahead Funding Still Needed If the PREVENT Pandemic Act is passed in Congress, lawmakers would still have to deliver billions of dollars for it to materialize.",,Politics,huffpost
"Putin's War Could Worsen The Impact Of COVID-19 In Ukraine Russia's invasion has destroyed health care facilities, curbing Ukrainians' access to services, including COVID-19 vaccinations, the World Health Organization said.",,WorldNews,huffpost
"Senate Gives Final Approval To Ukraine Aid, Huge Budget Bill The Senate has given final congressional approval to a 13.6 billion emergency package of military and humanitarian aid for besieged Ukraine and its European allies.",,Politics,huffpost
"Zelenskyy Asked For More Lethal Aid, No-Fly Zone In Call With U.S. Congress Experts have warned that a no-fly zone would amount to a U.S. declaration of war against nuclear-armed Russia.",,Politics,huffpost
Sen. Ben Ray Luján Returns To Congress After Suffering Stroke The New Mexico Democrat received a standing ovation at a Senate hearing one month after he suffered a stroke.,,Politics,huffpost
Heated Texas Congressional Primary Still Too Close To Call Progressive Democrat Jessica Cisneros had a narrow lead over Rep. Henry Cuellar as election day came to a close.,,Politics,huffpost
"Why Texas Progressive Greg Casar Gives Hope To The Embattled Left Casar's star is rising, but he will need to beat mainstream liberal Eddie Rodriguez to get to Congress.",,Politics,huffpost
"U.S. Relocates Ukraine Embassy Staff To Poland Amid Russian Threat Our personnel will regularly return to continue their diplomatic work in Ukraine and provide emergency consular services, Secretary of State Antony Blinken said.",,Politics,huffpost
"Alexandria Ocasio-Cortez Calls Congress Inner Workings A Shit Show, But Hopes For Change If people think that, the future is baked in and nothing is possible and that we re doomed, the Democratic congresswoman told The New Yorker.",,Politics,huffpost
"Biden Keeps Up Pressure On Putin To Pull Back Russian Troops, End Ukraine Crisis Russian President Vladimir Putin has suggested there may be a diplomatic solution to the predicament he created.",,Politics,huffpost
"Officer Placed On Leave After Viral Video Shows Him Choking Black Purdue Student The Indiana State Police are investigating the campus officer's use of force, and the university president promised a swift and thorough inquiry.",,Politics,huffpost
Urgent Doping Hearing To Decide Russian Figure Skater's Olympic Fate Kamila Valieva s right to compete in the women s event in Beijing will be decided at an urgent hearing at the Court of Arbitration for Sport.,,Sports,huffpost
"Canada, Finland Mask Up To Play Russian Team Decimated By COVID Multiple Russian women's hockey players have tested positive for the coronavirus at the 2022 Winter Olympics in Beijing.",,WorldNews,huffpost
Tucker Carlson Reportedly Donated To Marjorie Taylor Greene's Reelection Campaign An FEC filing dated Sept. 15 shows the Greene for Congress PAC received a 250 donation from a Tucker Carlson who lists Fox News as their employer.,,Politics,huffpost
U.S. And Russia Square Off At UN Security Council The U.S. is working to ramp up diplomatic and financial pressure on Russia over Ukraine.,,WorldNews,huffpost
"Democratic Candidate Evokes Slain Journalist Daughter As His Running Mate In Powerful Ad Andy Parker hailed WDBJ journalist Alison Parker, who was killed on-air in 2015, as his inspiration to take a stand in the spot launching a run for Congress.",,Politics,huffpost
CIA Says Most 'Havana Syndrome' Cases Likely Not Caused By Foreign Powers But questions remain. Russia has been suspected of aiming some sort of weapon at American diplomats abroad that causes debilitating ailments.,,Politics,huffpost
"Unvaccinated Novak Djokovic Now Faces French Open Ban The Serbian tennis star was this week deported from Australia, thwarting his defense of the Australian Open title.",,WorldNews,huffpost
"Alexandria Ocasio-Cortez Says 'COVID Was No Joke,' Shares Photos After Recovery For a while I ve noted the term 'mild' is misleading when the bar is hospitalization and death, the congresswoman said.",,Politics,huffpost
"Dick Durbin To GOP Our Turn To Confirm Judicial Nominees Without Your Consent Republicans chose to abandon this senatorial courtesy, the Judiciary Committee chair said of advancing a Biden appeals court pick without blue slips.",,Politics,huffpost
"Rep. Alexandria Ocasio-Cortez Rips 'Creepy Weirdo' Trump Adviser For Fixating On Boyfriend's Feet The congresswoman fired back at Republican Steve Cortes, turning the tables on his bizarre crack about her trip to Florida with her boyfriend.",,Politics,huffpost
Navy Objects To Recommendation It Drain Hawaii Fuel Tanks State officials are seeking to hold the U.S. Navy accountable for a leak at a fuel tank farm that sits above an aquifer that provides drinking water for Oahu.,,Environment,huffpost
Jan. 6 Committee Seeks Interview With GOP Rep. Jim Jordan It's the second time this week the committee publicly sought to interview a sitting member of Congress.,,Politics,huffpost
"Michael Cohen Slams 'Stupid' Mark Meadows On MSNBC On Tuesday, the House voted to recommend criminal charges against Meadows for contempt of Congress.",,Politics,huffpost
"Former Georgia Republican Sen. Johnny Isakson Dies At 76 The moderate, who resigned in 2019 due to his health issues, was known for making deals with Democrats in an otherwise polarized Congress.",,Politics,huffpost
Player In PowerPoint Election Overthrow Plot Reportedly Talked Often With Mark Meadows Retired Army colonel Phil Waldron also told The Washington Post that he briefed several members of Congress on options the night before Jan. 6.,,Politics,huffpost
Former DC Guard Official Rips 'Unmitigated' Jan. 6 Lies Of Michael Flynn's Brother Col. Earl Matthews accuses Lt. Gen. Charles Flynn and Lt. Gen. Walter Piatt of lying to Congress about what transpired the day rioters breached the Capitol.,,Politics,huffpost
UK Police Contacted Over Report Of Cocaine Use In Parliament The Sunday Times reported that drug detection wipes found traces of cocaine in 11 locations that are only accessible by accredited parliamentary lawmakers.,,Politics,huffpost
"Carrie Meek, Pioneering Black Former Congresswoman, Dies Former Florida congresswoman Carrie Meek championed affirmative action, economic opportunities for the poor and efforts to bolster democracy in Haiti.",,Politics,huffpost
"Omar Seeks Action Over Far-Right Congresswoman's Islamophobic Remarks Colorado Republican Rep. Lauren Boebert has repeatedly referred to Rep. Ilhan Omar in derogatory terms, calling Omar a member of the jihad squad.",,Politics,huffpost
"More States Expanded Voting Rights In 2021 Than Restricted Them Still, at the federal level, it remains incredibly important for Congress to step in to prevent widespread disenfranchisement, one voting rights attorney said.",,Politics,huffpost
GOP Gov. Chris Sununu Says Republicans In Congress Have 'Priorities Screwed Up' The New Hampshire governor weighed in on the censure of Rep. Paul Gosar and the passage of Joe Biden's infrastructure bill.,,Politics,huffpost
Vermont Democratic U.S. Rep. Peter Welch To Run For Patrick Leahy's Senate Seat The decisions by Leahy and now Welch will create the first open seats in Vermont's three-member congressional delegation since 2006.,,Politics,huffpost
Eddie Bernice Johnson Is Latest U.S. Rep. To Announce Retirement The veteran congresswoman won't be seeking reelection next year.,,Politics,huffpost
"India To Repeal Controversial Farm Laws That Led To Protests Farmers protested for a year, arguing the laws would devastate their earnings by ending guaranteed pricing.",,WorldNews,huffpost
"U.S. Journalist Danny Fenster Freed From Myanmar Jail With Ex-Diplomat's Aid This is the day that you hope will come when you do this work, said Bill Richardson, former U.S. ambassador to the U.N.",,WorldNews,huffpost
California School District Disciplines Teacher For Telling Students Trump Is Still President One of the students told his parents I m never getting vaccinated. I m never getting any more shots of any kind. Did you know Trump s still president?,,Politics,huffpost
Supreme Court To Consider Limiting EPA's Power To Regulate Climate-Changing Gases The ruling could challenge the Biden administration's plan to curb carbon emissions right after a key White House proposal died in Congress.,,Politics,huffpost
"Rep. Alexandria Ocasio-Cortez Asks Buffalo To Elect Badass India Walton As Mayor At a rally, the New York congresswoman also framed a Walton victory as important for American democracy.",,Politics,huffpost
"Fox News' Dana Perino Makes 'Nonsensical' Comment About Wind Power Tucker Carlson didn't even blink at the remark as the two discussed wind turbines, but there was a gusty outcry on Twitter.",,Politics,huffpost
"GOP Meddles In Buffalo Mayoral Race To Help Incumbent Democratic Mayor India Walton, a progressive, won the Democratic primary, but centrist Mayor Byron Brown is challenging her via a write-in campaign.",,Politics,huffpost
"In Quiet Debut, Alzheimer's Drug Rollout Slowed By Questions, Skepticism Persistent concerns about Aduhelm, the disease's first new treatment in about 20 years, are curbing access more than four months after regulators approved it.",,Science,huffpost
Texas GOP Advances New Congressional Maps That Would Tighten Slipping Grip The redrawn congressional districts may make it easier for Republican incumbents to hold their seats.,,Politics,huffpost
"Heavy Rains, Landslides Leave At Least 18 Dead In South India Rescuers are recovering bodies a day after torrential rains swept through villages and flooded roads in the southern Indian state of Kerala.",,WorldNews,huffpost
Iraqi Vote Spurred By 2019 Mass Protests Is Marred By Voting Boycott Iraqis have voted in parliamentary elections held months ahead of schedule as a concession to a youth-led uprising against corruption and mismanagement.,,WorldNews,huffpost
Disturbing New Footage Shows Minneapolis Cops Saying They're 'Hunting Activists' The newly released clips reveal officers making racist remarks and celebrating as they shoot rubber bullets at protesters.,,Politics,huffpost
"Biden Pledges To Double U.S. Climate Aid. It s Still A Fraction Of What s Needed. Even if the president persuades Congress to fund his proposal, it'll still be less per year than what the U.S. spends on a single aircraft carrier.",,Politics,huffpost
"Support For Gov. Greg Abbott Plunging In New Texas Poll The Texas governor's growing unpopularity opens doors for challenges by Matthew McConaughey and ex-congressman Beto O'Rourke, Dallas Morning News reports.",,Politics,huffpost
"Remington Subpoenas Report Cards Of Children Killed At Sandy Hook Remington, which made the gun used in the 2012 massacre, has received the disciplinary records, report cards and employment records of several victims.",,Crime,huffpost
"U.S. Drone Strike Kills Suicide Bombers Targeting Kabul Airport, Officials Say The strike hit a vehicle carrying multiple suicide bombers from Afghanistan's Islamic State affiliate, American officials said.",,Politics,huffpost
How Nina Turner Lost Her Election Financial mismanagement and other mistakes plagued the progressive candidate s campaign for Congress in Ohio.,,Politics,huffpost
Anti-Vaccine Protesters Mocked Over Fully Researched Target... Outside Wrong Building They protested the BBC's COVID-19 coverage outside a building the British broadcaster left eight years ago.,,Politics,huffpost
"Novak Djokovic s Racket Ends Up Just Like His Golden Slam Dreams, In Absolute Ruins The Serbian superstar's racket received the brunt of his temper tantrum during his loss to Spain's Pablo Carreño Busta in the bronze medal match.",,Sports,huffpost
Rep. Madison Cawthorn Was Stopped Trying To Bring Gun On Plane In February The GOP congressman said he mistakenly put the unloaded handgun in his carry-on rather than his checked bag.,,Politics,huffpost
"Seeing A Make-or-Break Moment, Climate Groups Plan Blitz Over Congressional Recess Dozens of environmental groups expect to spend tens of millions of dollars in August building support for climate legislation.",,Politics,huffpost
"Pelosi Says Biden Administration Should Extend Eviction Moratorium Only three days before its expiration, the White House had said it would not extend the moratorium and that Congress should do it.",,Politics,huffpost
"Biden Will Not Extend Eviction Moratorium, Even As States Struggle To Send Out Rent Relief The White House is punting the issue to Congress, where Democrats haven't been paying attention to the eviction moratorium lately.",,Politics,huffpost
Lawmakers Feud On Twitter After In-Person Shouting Match Over Masks In Congress Democratic Rep. Jared Huffman said he had to use a different elevator because an unmasked GOP colleague doesn't give a sh t about anyone but himself.,,Politics,huffpost
"A Bill Of Rights Aims To Keep Child Athletes Safe From Sex Abuse As Olympics Begin After the Larry Nassar scandal, advocates are calling on sports groups, gyms and more to commit to preventing child sexual abuse by adopting the set of principles.",,Sports,huffpost
"Progressive Group Launches 6-Figure Super PAC To Boost Nina Turner The Working Families Party plans to spend at least 150,000 in the hotly contested Ohio congressional race.",,Politics,huffpost
"Marjorie Taylor Greene s Holocaust Museum Visit Fails To Stop Her Vaccine Comparisons People have a choice, they don't need your medical brown shirts showing up at their door ordering vaccinations, the Republican congresswoman tweeted.",,Politics,huffpost
Republican Strategist Rails Against Her Own Party It s Neofascism! Susan Del Percio said the wackiest wackies will win GOP primaries... but will ultimately cost the party seats in Congress.,,Politics,huffpost
"Pacific Northwest Heat Records Shattered As Seattle Hits 104F, Portland 112F Forecasters said Monday could be even hotter in some parts of the country, prompting ongoing excessive heat warnings.",,Politics,huffpost
"Mike Gravel, Former U.S. Senator For Alaska, Dies At 91 Gravel read into the Congressional Record 4,100 pages of the 7,000-page leaked document known as the Pentagon Papers.",,Politics,huffpost
"How India Walton, A Democratic Socialist, Defeated Buffalo s Mayor People do not like being taken for granted, said the leader of a union that endorsed Walton.",,Politics,huffpost
"Tammy Duckworth Calls On Congress To Better Protect Immigrant Veterans Sen. Tammy Duckworth lambasted policies that allowed the U.S. to deport noncitizen veterans, and called on lawmakers to help bring them home.",,Politics,huffpost
Congressman Reveals True Terror Of Republicans Now Downplaying Capitol Riot Arizona Rep. Ruben Gallego said many GOP lawmakers now treating Capitol Police like s t were frightened during the insurrection.,,Politics,huffpost
House Passes Bill Awarding Gold Medal To All Officers Who Responded To Capitol Riot The Senate -- which initially refused to pass such a measure -- is expected to approve a similar bill. The Gold Medal is the highest congressional honor.,,Politics,huffpost
"MLB Pitchers Could Face 10-Game Bans For Altering Balls Commissioner Repeat offenders will receive progressive discipline, and teams and club employees will be subject to discipline for failure to comply",,Sports,huffpost
"House Judiciary Committee Will Probe Trump Subpoenas Against Media, Democrats Congress must make it extraordinarily difficult, if not impossible, for the Department to spy on the Congress or the news media, said Rep. Jerrold Nadler.",,Politics,huffpost
"Israel's Parliament Approves New Coalition, Ending Netanyahu's Long Rule Naftali Bennett, a former ally of Netanyahu turned bitter rival, becomes prime minister.",,WorldNews,huffpost
Pelosi Says Trump DOJ s Secret Data Seizures Go Beyond Richard Nixon The House speaker insisted that former Attorneys General Jeff Sessions and William Barr testify before Congress about the subpoenas and gag orders.,,Politics,huffpost
"Watergate Figure John Dean New Donald Trump Scandal Is Nixon On Stilts And Steroids It is beyond Nixon, the former White House counsel said of the Trump Justice Department collecting private information about members of Congress.",,Politics,huffpost
Volleyballer Makes Racist Gesture About Thai Opponent During Televised Match Serbian volleyball player Sanja Djurdjevic sparked an uproar after she stretched her eyes apart when her team won a point.,,Sports,huffpost
Kamala Harris Will Go Around Congress To Build Support For Voting Rights The vice president will work with corporations and civil rights groups to battle GOP efforts to restrict voting.,,Politics,huffpost
Juan Williams 'Extremism Among Republicans Is Paralyzing Congress' The Fox News political analyst blasted the GOP in a Memorial Day essay to remember.,,Politics,huffpost
"Bodies Of More Than 200 Children Found At Former Indigenous School In Canada The remains of 215 children, some as young as 3, were found at the site of the Kamloops Indian Residential School.",,WorldNews,huffpost
Rep. Gerry Connolly Calls On Biden To Create Jan. 6 Commission After 'Cowardly' GOP Vote The powerful Democrat urged a presidential investigation into the Capitol riot in lieu of the congressional one blocked by Senate Republicans.,,Politics,huffpost
Twitter Erupts After Rep. Marjorie Taylor Greene Breaks Out Mexican Accent The 'QAnon congresswoman' pulled another outrageous stunt.,,Politics,huffpost
"He Called FBI Agents Nazis. The Feds Just Arrested Him For Storming The Capitol. In multiple tweets, Adam Weibling defended the Capitol riot and described its participants as patriots and brave.",,Politics,huffpost
UK Accused Of Implementing Lockdowns On The Sly Amid Variant Surge A variant believed to have emerged out of India is now spreading in certain areas around England.,,WorldNews,huffpost
"India Coronavirus Death Toll Passes 300,000 India s death toll is the third-highest reported in the world, accounting for 8.6 of the nearly 3.47 million coronavirus fatalities globally.",,WorldNews,huffpost
"Growing Mystery Of Suspected Energy Attacks Draws U.S. Concern Is an adversary using a microwave or radio wave weapon to attack the brains of U.S. diplomats, spies and military personnel?",,Politics,huffpost
"India Battles Fatal 'Black Fungus' As Government Reports Nearly 300,000 Deaths Mucormycosis is affecting current and recovered COVID-19 patents amid a continuing surge, and could complicate India's fight against the pandemic.",,WorldNews,huffpost
Congress Sends Anti-Asian Hate Crimes Bill To Biden's Desk The House passed legislation that aims to address the nationwide uptick in violence toward Asian Americans and Pacific Islanders.,,Politics,huffpost
"Pentagon Chief During Jan. 6 Riot Defends Military Response Christopher Miller, former President Donald Trump s acting defense secretary, will testify before Congress about the military's response to a Jan. 6 attack on the Capitol.",,Politics,huffpost
"Texas Republican Slams GOP For Hating 'A Good Hunk Of America' I don't know what we stand for. We stand for owning the libs, former congressional candidate Michael Wood told MSNBC's Nicolle Wallace.",,Politics,huffpost
"GOP Congressman Embraces Cowardice, Refuses To Address Big Lie Of 2020 Election A Fox News appearance by Rep. Kevin Brady R-Texas ends with laughter about trying to destroy American democracy for personal gain.",,Politics,huffpost
Biden Urges Passage Of Equality Act As Anti-Trans Youth Bills Advance In Several States Lawmakers in Florida and West Virginia advanced anti-transgender legislation during the president's hour-long speech to Congress on Wednesday night.,,Politics,huffpost
"Dr. Anthony Fauci Dismantles Joe Rogan's False And Selfish Vaccination Advice The podcaster's view of vaccines is OK if you want to only worry about yourself and not society, the government's top infectious diseases expert said.",,Politics,huffpost
"Harris, Pelosi Make History At Joe Biden s First Congressional Speech The president's address at the joint session of Congress will feature the first time two women share the stage as vice president and speaker of the House.",,Politics,huffpost
Here Are The Key Moments From Biden s Speech To Congress The president spoke about what he's accomplished in his first 100 days in office and what he hopes Congress will help him achieve in the future.,,Politics,huffpost
GOP Group Is Rating Members Response To Trump s Attempts To Overturn Democracy The GOP Democracy Report Card gives grades to members of Congress based on whether they supported Trump s lie about the election being stolen from him.,,Politics,huffpost
"House Votes To Restrict President From Imposing Travel Bans Rep. Judy Chu said the Trump-era ban was always wrong, needless and cruel and that Congress should make sure it doesn't happen again.",,Politics,huffpost
"Biden Hopes Tax Credit Will Encourage Vaccine-Hesitant Americans To Get One Anyway The money was included in the American Rescue Plan, which Congress passed and Biden signed into law last month.",,Politics,huffpost
"Police Indianapolis Shooter Legally Purchased 2 Semiautomatic Rifles Despite FBI Concerns The state's protective red flag law didn't keep firearms out of the shooter's hands at a critical time, according to the police chief.",,Crime,huffpost
"Prince Philip To Be Remembered As Man Of 'Courage, Fortitude And Faith' At Funeral The Duke of Edinburgh's funeral will salute both his service in the Royal Navy and his support for Queen Elizabeth over three-quarters of a century.",,WorldNews,huffpost
Buckingham Palace Announces Prince Philip's Funeral Arrangements The 99-year-old Duke of Edinburgh took part in designing the modified Land Rover that will carry his coffin.,,WorldNews,huffpost
Ilhan Omar Says Derek Chauvin Trial Has Unearthed So Much Trauma For Minneapolis The congresswoman who represents Minneapolis told CNN about the emotions that have resurfaced during the trial of the former officer who killed George Floyd.,,Crime,huffpost
High Court Weighs When Police Can Enter Homes Without Warrants Both liberal and conservative justices believe police should be able to enter a home in limited circumstances.,,Politics,huffpost
"Dalai Lama Receives 'Very, Very Helpful' COVID-19 Vaccine The 85-year-old spiritual leader received his first shot of the vaccine in Dharmsala, a town in northern India.",,WorldNews,huffpost
"Capitol Police Request That National Guard Extend Stay In Washington By 60 Days The request, reported by multiple outlets, comes amid heightened security in response to a another potential extremist plot to attack the Capitol complex.",,Politics,huffpost
"UK, 4 Other Regulators To Fast-Track COVID-19 Vaccines Modified For Mutations The regulatory approach to new vaccines will be similar to the modified flu shot, which changes every year.",,WorldNews,huffpost
"Arab Spacecraft Enters Orbit Around Mars In Historic Flight Mission controllers at the UAE s space center in Dubai announced that the unmanned craft, called Amal, Arabic for Hope, swung into orbit around Mars on Tuesday.",,Science,huffpost
"Flood From Glacier Break In India's North Leaves 9 Dead, 140 Missing The flood was caused when a portion of Nanda Devi glacier broke off in Tapovan area of the northern state of Uttarakhand.",,WorldNews,huffpost
"International Criminal Court Ruling Brings Hope for Palestinians The ICC ruled it has jurisdiction over the Palestinian territories, which makes way for investigations of Israeli attacks.",,WorldNews,huffpost
Thousands Of Farmers In India Blockade Highways Protesting New Agricultural Laws People blocked highways around the country in the fight for the repeal of laws they say will put farmers at the mercy of big corporations.,,WorldNews,huffpost
"Members Of Congress Recount Capitol Attack Speakers are expected to include Reps. Alexandria Ocasio-Cortez, Ayanna Pressley and Cori Bush.",,Politics,huffpost
GOP Senator Calls For 'Strong Response' To Marjorie Taylor Greene Rhetoric Ohio's Rob Portman suggested stripping the House lawmaker of her committee assignments over her disturbing past social media activity.,,Politics,huffpost
"Nancy Pelosi Lawmakers Need Protection From Each Other Because 'The Enemy Is Within' We have members of Congress who want to bring guns to the floor and have threatened violence on other members, said the speaker.",,Politics,huffpost
"Lawmakers Face Threat Of Second Capitol Attack Ahead Of Impeachment, AP Reports Death threats against members of Congress have prompted Capitol Police to insist thousands of National Guard troops remain in Washington.",,Politics,huffpost
Senate Confirms Lloyd Austin To Be The First Black Defense Secretary President Biden made history by nominating Austin. But picking a retired general also threatens the bedrock democratic principle of civilian control of the military.,,Politics,huffpost
"'My Pillow Guy' Still Hoping Trump Could Mobilize The Military To Stay In Power God s got his hands in all this, and all this stuff will be revealed, Mike Lindell said in a wild interview a day after his disturbing White House visit.",,Politics,huffpost
How Joe Biden Could Make Monthly Checks A Thing Congress could transform boring annual tax credits into exciting monthly checks for people with children.,,Politics,huffpost
GOP Refuses To Follow New Capitol Safety Rules In Aftermath Of Riot Several Republican members of Congress threw a fit at the idea of going through metal detectors to keep the Capitol safe after an insurrection.,,Politics,huffpost
